,mol_id,atom_index,shift,DFT_shift
1191,2862,13,133.2,126.72770231169
1196,3156,28,14.5,6.792779178408
1198,3156,33,18.2,-0.214850347957999
1201,3156,27,38.9,3.049643022649
1202,3156,7,41.9,7.164803553529
1203,3156,6,49.8,7.242601247076
1204,3156,24,57.8,1.455018316933
1214,3156,32,133.3,0.463348537405999
1219,3156,8,169.8,56.53598646785
1220,3156,25,173.6,1.19900644614
1221,3156,29,179.9,4.039853525392
1224,3285,9,62.78,3.798708036836
1226,3285,15,63.7,3.664636982306
1228,3285,13,74.38,1.730912833908
1229,3285,14,75.26,3.59778386463899
1272,3325,22,55.44,4.064752435519
1275,3325,26,75.81,3.836558028421
1276,3325,27,86,2.413307140026
1279,3325,19,114.04,5.988079236831
1281,3325,7,121.23,38.352026265195
1283,3325,17,130.11,6.85096784017
1288,3325,23,152.56,4.65384423226
1309,3409,5,104.2,119.33965000351
1314,3409,1,118.3,103.207883599085
1316,3409,16,125,135.969726251755
1330,3492,12,56,3.774082741106
1336,3492,7,119.3,1.434862056354
1337,3492,9,127.9,4.018602807225
1338,3492,6,129.3,1.345481353334
1339,3492,15,129.4,3.465172086893
1341,3492,8,139,1.134889472443
1347,3707,14,43.6,115.54839737485
1350,3707,32,53.8,2.172982494661
1351,3707,19,58.1,169.493627306
1357,3707,2,125.4,132.4315910554
1363,3707,7,154.6,5.401176355266
1364,3707,15,170,6.041342839447
1365,3707,22,172.7,6.118958123396
1369,3715,19,21,5.591338361181
1372,3715,21,21.6,2.100474679456
1382,3715,23,72.9,1.710391754133
1384,3715,26,115.7,0.848506403582999
1385,3715,22,168.9,1.766026681523
1386,3715,17,170,4.591916173739
1387,3715,25,173.4,1.097404300054
1389,3744,0,109.8,127.286996156955
1390,3744,1,122.7,110.21601814232
1396,3870,18,41.3,4.113547002984
1397,3870,10,61.3,2.413307140026
1399,3870,24,71.8,48.39525047781
1401,3870,7,77.9,2.0691002286
1405,3870,16,116.3,3.89958054453
1406,3870,11,128.6,3.715894079344
1407,3870,13,128.6,55.499838322855
1408,3870,12,134.7,3.90140464051
1410,3870,15,156.5,3.145590471197
1412,3873,26,18.2,26.063411710945
1415,3873,25,25.8,18.85715164796
1436,3995,18,17.8,137.88941756824
1443,3995,21,44.3,2.395157385025
1445,3995,20,57.9,1.819290284139
1453,3995,6,200,0.809561954409997
1475,4289,17,18.29,25.706592482205
1479,4289,16,25.92,19.239775517565
1495,4289,19,176.48,170.45062188969
1501,4293,1,105.7,97.776538253275
1510,4293,17,133,139.846221177205
1553,5508,2,110.6,118.39212678613
1554,5508,8,121.9,132.764538575175
1561,5509,16,17.9,3.766968766784
1562,5509,15,25.7,73.846261451705
1564,5509,19,27.5,125.16202747269
1566,5509,24,45.6,1.28711028197399
1568,5509,17,73.8,41.91799568091
1569,5509,22,74.2,1.369103396275
1572,5509,13,123,7.034471895758
1574,5509,3,128.4,140.617461005305
1575,5509,14,135.7,141.94490198763
1577,5509,5,143.3,129.074958164455
1578,5509,7,170.3,186.917751978765
1579,5509,9,190.4,59.12476216152
1580,6558,12,15.6,39.077069020885
1582,6558,11,19.6,39.36034019083
1583,6558,5,21.2,69.13870245585
1584,6558,19,23.6,50.74318285674
1585,6558,10,31.1,48.425307568855
1590,6558,9,46.6,3.231414187056
1591,6558,23,49.7,32.15765605186
1592,6558,21,55.2,124.77002888337
1593,6558,18,62.8,0.711972819479996
1594,6558,15,64.6,14.61823199126
1597,6558,7,140.4,150.162278727505
1598,6558,13,214.2,1.657128151517
1600,6605,22,11.5,3.068796030439
1601,6605,17,16,1.849205458211
1602,6605,26,16.4,4.226367339347
1604,6605,15,20.5,6.707137872147
1606,6605,20,26.7,5.103939915325
1607,6605,19,41,2.357489803038
1615,6605,13,127.1,2.29255198615
1617,6605,12,169.2,1.835251123964
1618,6605,23,175.7,3.854707783422
1619,6605,18,176,2.365698234948
1620,6609,8,30.2,38.577599417925
1621,6609,7,40.7,32.881828988195
1658,6768,19,32.2,0.956948909593997
1661,6768,18,39.5,1.952449290679
1670,6768,22,116.1,2.004709640506
1671,6768,24,117.8,2.841696080929
1673,6768,25,129.6,1.944514473166
1674,6768,21,130.6,1.476177830301
1675,6768,20,133.6,1.85659304692999
1679,6768,23,160.5,1.032010459171
1680,6768,16,172.2,2.487365436814
1682,7061,9,90.5,77.312008348405
1684,7061,2,118.3,111.794160392075
1689,7061,11,128.5,136.601215103485
1691,7061,4,144.9,129.872099280015
1692,7061,7,157.2,138.99408814909
1694,7061,12,186.6,177.24294458629
1710,7066,14,114.6,108.01924103797
1719,7078,3,106,122.264852494375
1728,7108,13,12.8,1.308361000141
1730,7108,7,34.7,1.143006699554
1731,7108,14,35.5,1.004831429069
1732,7108,8,40.7,0.702578725182999
1734,7108,12,76.3,0.443101072027996
1735,7108,20,118,0.995254925173995
1743,7108,22,134,1.783811617328
1744,7108,1,140.5,147.440710612305
1745,7108,6,140.5,1.112544296688
1746,7108,21,144.6,1.670352847372
1747,7108,17,166,1.260934504661
1751,7229,28,25.9,1.905478819194
1756,7229,13,46,4.89781706958499
1761,7229,16,120.1,51.699500914265
1762,7229,26,123.8,2.190676225667
1763,7229,22,125.7,2.06453998865
1765,7229,21,128.1,23.599503418015
1766,7229,23,128.1,2.532146993123
1767,7229,24,128.1,5.766269165663
1768,7229,27,130.4,1.936214836457
1774,7229,10,209.2,3.931046200185
1775,7236,16,17.6,2.258715005721
1776,7236,9,23.9,4.806703475384
1778,7236,17,25.7,2.233633685996
1779,7236,13,25.9,1.43522687555
1784,7236,10,36.6,4.745869874451
1785,7236,29,36.6,3.550813393154
1789,7236,23,69.1,96.57087198065
1793,7236,19,102.7,1.556164439024
1796,7236,14,124.1,2.131028287121
1797,7236,15,130.1,2.4612808643
1799,7236,7,152.5,160.71560366853
1802,7359,9,38.48,3.497002561744
1804,7359,21,54.8,2.711546832756
1805,7359,23,55.44,2.333867760097
1806,7359,25,55.49,1.616359606364
1807,7359,8,57.87,3.663998548713
1808,7359,26,60.62,1.780984268559
1810,7359,4,113.44,126.71726447943
1818,7359,11,133.32,6.21983063109
1841,7695,29,55.8,3.688623844443
1842,7695,17,56.7,145.02000334734
1844,7695,32,69.5,7.171735118253
1845,7695,34,78.6,118.83496148442
1846,7695,24,99.5,3.616207234037
1847,7695,26,107.7,5.596172215528
1848,7695,11,108,166.597612086825
1849,7695,15,108,144.69353114943
1852,7695,22,121.4,3.647216865697
1853,7695,9,122,77.1845314896
1858,7695,13,141.3,118.975195693765
1860,7695,14,148.2,103.977770374855
1862,7695,23,158.7,4.07104556665
1864,7695,8,165.8,37.0993897474
1875,7902,5,155.6,148.318068401715
1882,7912,19,56.4,6.886720121378
1883,7912,21,74.1,4.375943209707
1886,7912,12,115.5,137.205836201805
1888,7912,6,120.2,7.02516900626
1891,7912,15,128.5,155.492531734945
1904,7992,19,13.8,3.566227004185
1907,7992,7,29.2,151.13792610403
1912,7992,13,37.8,7.556163346038
1913,7992,12,52.1,146.6405734523
1914,7992,23,73,1.63678948134
1915,7992,20,115.2,3.601523261398
1916,7992,9,118.1,5.19104049837
1923,7992,18,170.9,3.67795288296
1924,7992,21,174,2.275587893536
1925,8411,0,130.4,123.016763003475
1926,8411,1,130.4,142.144090619925
1939,9670,15,112.2,119.794565526175
1957,9671,6,176.2,169.93066320859
1973,10088,12,114.18,107.767863244375
2007,10592,0,133.9,140.26247806187
2016,10886,17,41.7,3.558383391471
2017,10886,15,47.9,1.652659116366
2018,10886,10,62.6,2.360773175802
2019,10886,16,63.1,3.806916468746
2020,10886,12,66.5,3.916818251541
2021,10886,13,69.6,55.600544074845
2026,10886,7,78.4,2.111328050537
2035,11093,1,41.7,35.69337508334
2038,11093,9,133.8,140.84081128635
2069,11220,0,142.76,149.04185475167
2070,11220,2,142.76,149.059734371745
2076,11225,22,24.3,2.006716146084
2077,11225,14,27,1.822664861702
2078,11225,0,29.8,16.663177294865
2079,11225,15,30.3,1.935211583668
2082,11225,5,39,0.784845453880998
2083,11225,6,45.7,0.768428590060996
2084,11225,25,51.4,4.479825475768
2085,11225,21,61.1,2.255340428158
2086,11225,4,79.3,0.993522033992996
2087,11225,8,100.9,0.921105423586997
2090,11225,9,142.1,1.489767345352
2092,11225,13,183.6,28.14585589341
2093,11225,10,189.1,0.862278328231998
2101,11226,21,34.7,62.856190547875
2102,11226,6,36.6,30.07414875685
2107,11226,19,58.6,3.813392009475
2108,11226,20,68.9,3.302280315879
2119,11305,14,19.9,2.045660595257
2120,11305,12,21.2,1.823394500094
2121,11305,13,27,2.144982621368
2122,11305,15,28,1.989478439073
2123,11305,6,32.7,2.14753635574
2130,11305,20,41.5,2.203900921522
2131,11305,9,41.9,131.442606448765
2132,11305,23,52.4,1.514757460278
2133,11305,3,52.6,44.640433615465
2137,11305,7,136.6,1.078251292264
2139,11305,21,166.7,2.185203937727
2140,11305,22,167,1.540021189601
2173,11352,0,156.5,146.539384467335
2183,11683,8,119.3,126.560213762555
2231,19748,12,25.9,151.657401552155
2233,19748,6,74.6,7.216881493758
2235,19748,7,81.7,7.335812551654
2244,19748,9,164,71.156780006045
2246,19831,5,33.7,58.525456625925
2248,19831,13,36.8,2.386857748316
2249,19831,7,39.2,2.794816814243
2252,19831,6,65.9,29.752798828475
2254,19831,11,108.2,2.448329782842
2257,19831,12,117.8,2.533515065108
2259,19831,16,122.9,2.095823234707
2260,19831,15,123,2.261268740093
2262,19831,8,160.3,2.695221173735
2263,19831,14,160.9,3.030490014859
2288,20043,5,134.8,143.03275606095
2356,21111,3,137.5,144.31023075366
2357,21111,9,137.5,144.328110373735
2360,21111,4,182.4,174.812765955015
2361,21111,5,182.4,174.81150954928
2380,21125,28,14.2,0.931502770672999
2381,21125,20,20.2,158.19254765946
2382,21125,26,20.3,6.472559129119
2387,21125,8,38.6,5.30139830516
2391,21125,6,53.3,104.65555294559
2394,21125,5,83.1,154.171372781295
2396,21125,13,115.8,144.83676140322
2398,21125,11,120.7,3.815033695857
2402,21125,10,131.5,1.75626776803
2403,21125,16,138.1,40.68323878319
2407,21125,25,164.6,5.903532388158
2408,21125,7,171.7,4.74687312724
2431,21333,3,131.1,124.54832159444
2439,21786,12,45.4,7.523968051991
2440,21786,11,58.5,6.031219106758
2443,21786,13,74.5,6.664727640612
2456,22047,28,12.4,1.120935138196
2457,22047,7,17.1,1.574679013221
2459,22047,17,19.6,1.835433533562
2463,22047,15,29.8,1.775147161423
2467,22047,16,36.9,3.675307943789
2471,22047,18,50.1,195.425938322995
2474,22047,13,122.4,150.56577826163
2478,22047,6,142.9,1.537558660028
2480,22047,5,146.3,1.087280567365
2482,22047,29,181.6,1.549324079099
2484,22047,25,29.8,152.37635557236
2492,22127,7,123.8,142.08194685934
2494,22127,2,125.3,117.23352740527
2498,22127,1,149,142.23271554754
2500,22127,9,172.2,165.83362075335
2534,22130,8,153.6,160.0261268598
2541,22169,11,127.5,137.407054412595
2578,74209,1,149.6,141.6381456951
2583,74215,1,136.1,144.8990018104
2584,74217,1,142,135.01940028312
2613,74250,9,118.4,111.530701774105
2615,74250,7,135.8,142.703094525405
2624,74258,0,125.6,131.941302878965
2625,74258,3,125.6,131.941302878965
2626,74260,3,23.6,30.32794271532
2629,74260,1,119.1,127.91394261872
2632,74260,7,202,209.998505210285
2635,74262,4,18.4,24.56413308271
2639,74262,6,125.8,132.1435842023
2640,74262,1,129.3,142.45229661138
2644,74272,0,25.3,31.44807675137
2646,74272,1,132.3,141.364732477845
2649,74273,0,129.9,139.245272649495
2650,74273,1,129.9,139.244499476735
2657,74274,8,129,140.03690490914
2658,74274,10,129,140.03303904534
2665,74275,0,134.1,145.20807762121
2666,74275,1,134.1,147.93099878874
2673,74276,6,132.2,138.803984296725
2676,74276,12,132.2,138.802631244395
2686,74277,1,65.4,75.47504651724
2688,74277,0,126.7,133.81576358899
2693,74278,6,128.4,135.75488087107
2694,74278,8,128.4,135.7620327191
2722,74280,1,130.7,136.970984975955
2723,74280,9,130.7,136.962286782405
2746,74287,0,50.2,60.073928371015
2863,74963,0,78.2,84.55943986086
2869,74967,0,187.5,180.988869961895
2888,74998,7,126.2,133.167748169515
2893,74998,6,137.8,144.004537573675
2927,75013,4,119.2,111.50335078772
2936,75013,15,176.1,169.55045550386
3171,75320,0,142.5,148.705234661285
3265,75347,0,108.5,118.676171128835
3282,75362,3,36,45.020834613385
3283,75362,4,44.9,38.8912176187
3285,75362,6,62.3,70.305323504095
3287,75362,1,138.5,145.22972645849
3295,75363,2,120.8,134.61541751602
3299,75367,1,153.7,147.634583681875
3327,75391,3,158.4,147.74466415358
3376,75413,3,171.2,162.978583690455
3381,75419,7,113.8,107.58201184219
3425,75664,6,36.4,43.155941916265
3430,75664,1,129.7,139.42783806745
3431,75664,3,129.7,136.562943051865
3459,75686,8,88.3,97.17433331983
3463,75686,4,125.6,133.61957100114
3479,75690,10,69.9,78.54357590849
3488,75694,0,70,78.542126209565
3497,75704,1,147.6,154.27120871393
3515,75711,11,134.2,140.329454152205
3624,75773,4,115.3,108.561525082515
3658,75784,4,43.5,50.850363930595
3660,75784,3,77.4,68.598737929585
3665,75786,3,43,49.75332843075
3668,75787,2,44,52.26845941903
3669,75787,3,44,50.46696688823
3681,75789,3,43.1,50.207664073845
3779,76076,3,122.6,128.974445705655
3798,76077,3,138.6,146.33246410744
3804,76089,9,56.1,47.47904075721
3806,76089,0,74.7,68.78265639987
3820,76092,5,155.4,162.359465602885
3889,76410,0,145.6,152.97904373878
3921,76440,0,148.4,164.876336229875
3948,76441,0,150.7,141.166606958095
3949,76441,1,150.7,141.18313352584
3959,76442,0,149.6,157.590536019205
3967,76448,3,162.8,156.46160714301
3993,76478,2,159.7,167.95597997955
3997,76482,10,18.4,1.407500616654
3998,76482,3,36.9,6.140208841563
3999,76482,5,61.7,42.58060473623
4003,76482,4,103.5,5.273672046264
4011,76484,14,27.9,7.558808285209
4014,76484,12,39.3,2.441580627716
4015,76484,11,41.2,1.975980128821
4016,76484,10,47.2,2.439847736535
4019,76484,13,119.7,6.714799075263
4030,76485,11,21.9,0.707321374730995
4031,76485,6,23.2,1.127501883724
4032,76485,7,31.3,1.428295310826
4034,76485,10,33.3,1.246068122424
4037,76485,3,42.4,26.331509365475
4038,76485,1,46.6,54.556954142035
4039,76485,9,51.1,1.620828641515
4040,76485,13,55.3,152.495327530805
4041,76485,20,112,1.794847398007
4042,76485,15,128.3,5.167236045831
4043,76485,19,128.3,1.546405525531
4044,76485,16,129,4.873191773855
4046,76485,17,133.4,38.283793769125
4048,76485,8,145.8,1.3303413567
4056,76487,8,131.8,138.712363324665
4057,76487,3,132.2,143.77886777435
4059,76490,9,13.8,4.147383983413
4061,76490,1,28.3,39.286018959275
4065,76490,10,69.6,3.331283441961
4119,76505,1,150.8,157.96040253827
4142,76523,6,136.7,129.57742381186
4146,76544,7,29.9,36.52666202543
4148,76544,6,40.2,46.83498784813
4205,76786,11,52.8,3.415009447443
4208,76786,12,117.1,1.97698338161
4211,76786,10,169.7,3.273368394596
4219,76797,2,101.4,94.029549765125
4306,76880,2,131.5,141.51540451945
4307,76880,0,132.3,138.40493050597
4308,76880,4,132.3,138.401547875145
4316,76886,4,129.5,138.33031933463
4317,76886,0,139.1,145.612350328095
4336,76902,8,114.6,107.45521150955
4342,76902,7,132.7,139.086385647315
4353,76903,2,130.4,138.591748374105
4354,76903,6,130.4,136.61561544614
4361,76905,6,28.6,39.223585258905
4364,76905,0,130.1,136.241883063275
4385,76912,0,131.8,138.531440898825
4386,76912,2,131.8,138.53540340922
4431,77196,6,116.1,1.362810265144
4432,77196,5,139.5,1.090107916134
4446,77201,5,118.2,5.406739848005
4448,77201,4,135.1,5.666947139552
4449,77202,4,10.6,1.175840427194
4454,77205,5,13.4,1.061743223645
4460,77206,6,13.7,0.954577584820001
4473,77208,0,131.9,141.71720260981
4474,77208,5,138.7,126.21876134242
4487,77223,1,114.6,108.69248121874
4499,77230,4,63.9,47.706063608865
4505,77231,1,48.9,36.52298945482
4506,77231,3,48.9,57.054495450025
4508,77231,13,127.1,7.177937044585
4511,77231,12,127.7,6.816948450143
4512,77231,14,127.7,7.39637253819
4515,77231,11,128.6,6.055114764096
4516,77231,15,128.6,8.243300301704
4534,77235,7,126.9,135.92227277361
4539,77236,9,13.7,25.278254773165
4540,77236,8,25.7,17.58972820113
4546,77236,6,138,146.3467678035
4558,77237,16,122,114.40371510367
4592,77251,12,24.9,31.128079875325
4625,77255,2,158.7,170.134684170635
4627,77255,0,164.8,157.116387824135
4628,77255,4,169.1,160.45794384626
4656,77259,2,160.9,153.703989847875
4672,77260,9,166.9,173.38210640923
4689,77274,9,15.1,1.328608465519
4693,77274,8,65.9,1.170641753651
4697,77281,10,42.1,35.923297332845
4709,77295,4,128.9,122.588232001245
4711,77295,1,132.3,138.47354958842
4712,77295,2,132.4,123.3390793978
4754,88191,9,16.5,1.104062250381
4755,88191,8,20.8,1.645089118049
4756,88191,6,22.2,0.956310476000997
4758,88191,7,26,1.627212977445
4763,88191,12,54.6,0.709327880308997
4764,88191,11,58.1,14.1844820729
4769,88199,1,113.7,104.96694827468
4771,88199,5,149.5,156.19254302253
4773,88199,4,169.4,147.225768585025
4778,88391,7,50.6,1.591369491438
4781,88391,6,119.2,1.586079613096
4782,88391,5,137.1,2.172252856269
4820,88401,1,149.4,158.229370012155
4821,88401,0,157.5,148.159954572295
4834,88407,5,152.2,162.91412041159
4848,88408,5,155,163.388171960065
4850,88408,9,26.9,19.766886046695
4851,88409,8,19.5,158.248892624345
4857,88409,3,47.2,39.999850709945
4859,88409,7,109.9,1.336816897429
4860,88409,11,115.6,5.112148347235
4861,88409,10,137.8,4.994858975721
4862,88409,6,150.9,1.955459049046
4891,88426,11,118.9,5.299391799582
4893,88426,19,13.8,0.954395175221997
4909,88441,12,40.3,65.97565269469
4912,88441,2,71,64.17841261407
4914,88441,9,127.6,1.837622448738
4916,88441,8,128.5,4.660775796984
4920,88441,10,128.5,1.904475566405
4939,88450,1,156,148.191654655455
4956,88460,8,124.6,132.5475669694
4983,88464,11,127.5,2.054963484755
4984,88464,8,129.2,3.884714162293
4985,88464,9,132.9,1.643629841265
4987,88464,12,172.7,3.528650626997
4988,88464,7,127.5,0.946095538512996
4989,88464,10,129.2,1.784085231725
4990,88465,1,34.7,25.720509591885
5037,88477,18,36.5,42.9813015191
5057,88483,13,22.7,7.208673061848
5063,88483,12,113,7.627485498856
5067,88483,7,138.4,132.322670342835
5097,88752,14,54.1,60.613989543875
5145,88776,9,146.1,153.21176873954
5146,88776,10,154.3,143.26722070042
5151,88777,0,88.1,81.09040697993
5160,88778,7,28.4,36.51042539747
5170,88779,0,89.2,71.596908599675
5174,88779,4,192.6,179.56072322758
5183,88790,1,27.7,37.493417915215
5184,88790,3,36.2,27.05510242224
5224,88815,3,128.8,136.00268274065
5228,88816,3,100,107.556593787705
5229,88816,2,152,165.441525517435
5246,88826,0,86.9,96.31765790175
5269,88852,11,29.8,23.702528688285
5284,88853,6,71.9,99.14128482127
5288,88853,5,134.3,154.748932833015
5289,88853,4,136.9,128.760856730705
5291,88853,7,169.9,181.466110848005
5301,88861,9,119.8,127.44443346021
5324,88874,8,126.2,133.229022110745
5402,89166,9,26.4,16.821291124285
5407,89166,6,142.7,151.598833715585
5413,89170,4,35,28.2620251006
5424,89172,6,42.3,49.383268618495
5426,89172,9,82.8,74.827804270525
5432,89172,4,121.5,114.25526593375
5491,89194,0,105,113.320596713505
5494,89194,4,144.2,135.695056628765
5507,89195,4,166,174.21326712623
5508,89195,0,170.6,163.664194635385
5510,89200,10,24.2,31.344568248125
5511,89200,1,30.8,23.469996980715
5553,89208,7,45.3,3.13437228092
5568,89216,2,20.7,32.853608182455
5571,89216,1,31.6,21.54837273233
5613,89226,14,107.3,117.15524366332
5669,89256,0,112.6,125.64564703407
5703,89266,6,171.9,161.31171986649
5711,89267,1,176.4,167.07514291272
5715,89541,0,61,72.24318438044
5716,89541,1,68.1,59.98027782046
5742,89569,5,10.5,20.199476205915
5748,89569,6,10.5,20.185945682615
5760,89576,11,52.9,155.86143178806
